0.250663,0.133684,0.317505
0.024269,0.126379,0.087458
0.018731,0.121085,0.079273
0.017752,0.119306,0.077405
0.018111,0.121526,0.078874
0.016604,0.119613,0.076410
0.016273,0.117254,0.074900
0.015625,0.115044,0.073147
0.015611,0.113363,0.072292
0.014803,0.110578,0.070092
0.016221,0.113206,0.072825
0.014662,0.114313,0.071819
0.014687,0.109124,0.069250
0.014064,0.111260,0.069694
0.013069,0.108447,0.067293
0.013661,0.106040,0.066681
0.014172,0.108533,0.068438
0.013922,0.108306,0.068075
0.013201,0.106062,0.066232
0.014295,0.107725,0.068157
