1.634830,0.141018,1.705340
0.589719,0.145016,0.662227
0.229481,0.143267,0.301115
0.132305,0.146032,0.205321
0.083277,0.134512,0.150533
0.071736,0.130061,0.136767
0.062251,0.130850,0.127676
0.051270,0.131435,0.116988
0.035165,0.129334,0.099832
0.042565,0.121704,0.103417
0.034600,0.127870,0.098535
0.030318,0.127870,0.094253
0.031549,0.130782,0.096940
0.026712,0.123060,0.088243
0.029265,0.128259,0.093395
0.024007,0.127149,0.087582
0.026288,0.119666,0.086121
0.026956,0.119543,0.086728
0.021069,0.122442,0.082290
0.022759,0.124310,0.084913
